Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,53.849998,54.279999,53.799999,54.070000,54.070000,137200
2022-02-17,53.880001,54.110001,53.470001,53.669998,53.669998,72100
2022-02-18,53.119999,53.419998,52.689999,53.029999,53.029999,192800
2022-02-22,52.759998,53.290001,52.450001,52.820000,52.820000,172600
2022-02-23,52.709999,52.950001,51.759998,51.970001,51.970001,158000
2022-02-24,50.090000,50.730000,49.520000,50.700001,50.700001,311300
2022-02-25,49.810001,50.560001,49.509998,50.480000,50.480000,386500
2022-02-28,49.500000,49.939999,49.080002,49.200001,49.200001,319900
2022-03-01,49.189999,49.340000,47.599998,47.720001,47.720001,163700
2022-03-02,47.570000,48.340000,47.509998,48.119999,48.119999,270400
2022-03-03,48.270000,48.490002,47.860001,47.919998,47.919998,134400
2022-03-04,46.950001,46.950001,45.970001,46.240002,46.240002,320600
2022-03-07,44.150002,44.910000,43.189999,43.310001,43.310001,367300
2022-03-08,43.250000,44.160000,42.680000,42.939999,42.939999,316300
2022-03-09,43.730000,44.919998,43.730000,44.450001,44.450001,252200
2022-03-10,44.130001,44.570000,44.060001,44.380001,44.380001,231500
2022-03-11,44.570000,44.900002,44.009998,44.040001,44.040001,171000
2022-03-14,45.189999,45.730000,44.779999,44.790001,44.790001,259500
2022-03-15,45.169998,45.869999,45.130001,45.730000,45.730000,176600
2022-03-16,46.410000,47.540001,46.180000,47.470001,47.470001,186400
2022-03-17,47.369999,48.009998,47.220001,47.980000,47.980000,139600
2022-03-18,47.630001,47.630001,47.180000,47.529999,47.529999,205500
2022-03-21,47.310001,47.560001,47.119999,47.470001,47.470001,142200
2022-03-22,48.090000,48.680000,48.090000,48.320000,48.320000,159800
2022-03-23,49.009998,49.360001,48.349998,48.430000,48.430000,256200
2022-03-24,49.540001,49.630001,48.880001,49.209999,49.209999,290800
2022-03-25,49.290001,49.599998,49.130001,49.459999,49.459999,171200
2022-03-28,49.580002,49.799999,49.389999,49.779999,49.779999,140100
2022-03-29,49.570000,50.000000,49.439999,49.820000,49.820000,216800
2022-03-30,49.380001,49.380001,48.480000,48.700001,48.700001,312800
2022-03-31,49.810001,49.830002,48.830002,48.830002,48.830002,284300
2022-04-01,49.799999,49.799999,49.270000,49.700001,49.700001,337000
2022-04-04,49.849998,50.320000,49.790001,50.160000,50.160000,137100
2022-04-05,49.099998,49.529999,48.299999,48.349998,48.349998,134400
2022-04-06,48.230000,48.759998,48.220001,48.689999,48.689999,271200
2022-04-07,47.840000,47.959999,47.029999,47.880001,47.880001,311200
2022-04-08,47.400002,48.980000,47.279999,48.220001,48.220001,650700
2022-04-11,48.439999,49.380001,48.439999,48.750000,48.750000,312900
2022-04-12,48.840000,49.279999,48.330002,48.330002,48.330002,239600
2022-04-13,48.389999,48.529999,48.080002,48.480000,48.480000,182400
2022-04-14,48.480000,48.610001,48.040001,48.250000,48.250000,134200
2022-04-18,48.180000,48.540001,48.180000,48.310001,48.310001,101600
2022-04-19,48.040001,48.320000,48.020000,48.259998,48.259998,87300
2022-04-20,48.889999,49.230000,48.720001,49.119999,49.119999,167400
2022-04-21,49.020000,49.139999,48.279999,48.380001,48.380001,254000
2022-04-22,49.340000,49.669998,47.630001,48.070000,48.070000,226900
2022-04-25,47.709999,48.110001,47.110001,48.040001,48.040001,195008
